recovery_scenario,psi,tau_alpha,mrio,order,base_alpha,max_alpha,sectors_scenario,flood_scenario
reb365,0.999,365,exiobase3_full_2010_ixi,alt,1,1.25,default,germany21
reb545,0.999,365,exiobase3_full_2010_ixi,alt,1,1.25,default,germany21
recfast,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
reclin2,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
recS2,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
reclin6,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
recS6,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
reb15,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
reb90,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
reb15q,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
reb90q,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
reb365,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
reb545,0.5,30,euregio_full_2000,alt,1,1.25,default,germany21
recfast,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
reclin2,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
recS2,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
reclin6,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
recS6,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
reb15,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
reb90,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
reb15q,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
reb90q,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
reb365,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
reb545,0.5,365,euregio_full_2000,alt,1,1.25,default,germany21
recfast,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
reclin2,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
recS2,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
reclin6,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
recS6,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
reb15,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
reb90,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
reb15q,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
reb90q,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
reb365,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
reb545,0.8,30,euregio_full_2000,alt,1,1.25,default,germany21
recfast,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
reclin2,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
recS2,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
reclin6,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
recS6,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
reb15,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
reb90,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
reb15q,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
reb90q,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
reb365,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
reb545,0.8,365,euregio_full_2000,alt,1,1.25,default,germany21
recfast,0.999,30,euregio_full_2000,alt,1,1.25,default,germany21
reclin2,0.999,30,euregio_full_2000,alt,1,1.25,default,germany21
recS2,0.999,30,euregio_full_2000,alt,1,1.25,default,germany21
reclin6,0.999,30,euregio_full_2000,alt,1,1.25,default,germany21
recS6,0.999,30,euregio_full_2000,alt,1,1.25,default,germany21
reb15q,0.999,30,euregio_full_2000,alt,1,1.25,default,germany21
reb90q,0.999,30,euregio_full_2000,alt,1,1.25,default,germany21
reb365,0.999,30,euregio_full_2000,alt,1,1.25,default,germany21
reb545,0.999,30,euregio_full_2000,alt,1,1.25,default,germany21
recfast,0.999,365,euregio_full_2000,alt,1,1.25,default,germany21
reclin2,0.999,365,euregio_full_2000,alt,1,1.25,default,germany21
recS2,0.999,365,euregio_full_2000,alt,1,1.25,default,germany21
reclin6,0.999,365,euregio_full_2000,alt,1,1.25,default,germany21
recS6,0.999,365,euregio_full_2000,alt,1,1.25,default,germany21
reb15q,0.999,365,euregio_full_2000,alt,1,1.25,default,germany21
reb90q,0.999,365,euregio_full_2000,alt,1,1.25,default,germany21
recfast,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
reclin2,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
recS2,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
reclin6,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
recS6,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
reb15,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
reb90,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
reb15q,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
reb90q,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
reb365,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
reb545,0.5,30,euregio_full_2010,alt,1,1.25,default,germany21
recfast,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
reclin2,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
recS2,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
reclin6,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
recS6,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
reb15,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
reb90,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
reb15q,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
reb90q,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
reb365,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
reb545,0.5,365,euregio_full_2010,alt,1,1.25,default,germany21
recfast,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
reclin2,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
recS2,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
reclin6,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
recS6,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
reb15,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
reb90,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
reb15q,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
reb90q,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
reb365,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
reb545,0.8,30,euregio_full_2010,alt,1,1.25,default,germany21
recfast,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
reclin2,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
recS2,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
reclin6,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
recS6,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
reb15,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
reb90,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
reb15q,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
reb90q,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
reb365,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
reb545,0.8,365,euregio_full_2010,alt,1,1.25,default,germany21
recfast,0.999,30,euregio_full_2010,alt,1,1.25,default,germany21
reclin2,0.999,30,euregio_full_2010,alt,1,1.25,default,germany21
recS2,0.999,30,euregio_full_2010,alt,1,1.25,default,germany21
reclin6,0.999,30,euregio_full_2010,alt,1,1.25,default,germany21
recS6,0.999,30,euregio_full_2010,alt,1,1.25,default,germany21
reb15q,0.999,30,euregio_full_2010,alt,1,1.25,default,germany21
reb90q,0.999,30,euregio_full_2010,alt,1,1.25,default,germany21
reb365,0.999,30,euregio_full_2010,alt,1,1.25,default,germany21
reb545,0.999,30,euregio_full_2010,alt,1,1.25,default,germany21
recfast,0.999,365,euregio_full_2010,alt,1,1.25,default,germany21
reclin2,0.999,365,euregio_full_2010,alt,1,1.25,default,germany21
recS2,0.999,365,euregio_full_2010,alt,1,1.25,default,germany21
reclin6,0.999,365,euregio_full_2010,alt,1,1.25,default,germany21
recS6,0.999,365,euregio_full_2010,alt,1,1.25,default,germany21
reb15q,0.999,365,euregio_full_2010,alt,1,1.25,default,germany21
reb90q,0.999,365,euregio_full_2010,alt,1,1.25,default,germany21
